,index,Suburb,Rooms,Type,Price,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Propertycount,distance_group,Date_Month,airbnb_price_mean
0,0,Abbotsford,2,h,1480000.0,2.5,3067.0,1.0,1.0,202.0,,,Yarra,-37.7996,144.9984,4019.0,"(0, 10]",2016-03-01,130.62403100775194
1,1,Abbotsford,2,h,1035000.0,2.5,3067.0,1.0,0.0,156.0,79.0,1900.0,Yarra,-37.8079,144.9934,4019.0,"(0, 10]",2016-04-01,130.62403100775194
2,2,Abbotsford,3,h,1465000.0,2.5,3067.0,2.0,0.0,134.0,150.0,1900.0,Yarra,-37.8093,144.9944,4019.0,"(0, 10]",2017-04-01,130.62403100775194
3,3,Abbotsford,3,h,850000.0,2.5,3067.0,2.0,1.0,94.0,,,Yarra,-37.7969,144.9969,4019.0,"(0, 10]",2017-04-01,130.62403100775194
4,4,Abbotsford,4,h,1600000.0,2.5,3067.0,1.0,2.0,120.0,142.0,2014.0,Yarra,-37.8072,144.9941,4019.0,"(0, 10]",2016-04-01,130.62403100775194
5,5,Abbotsford,2,h,941000.0,2.5,3067.0,1.0,0.0,181.0,,,Yarra,-37.8041,144.9953,4019.0,"(0, 10]",2016-07-01,130.62403100775194
6,6,Abbotsford,3,h,1876000.0,2.5,3067.0,2.0,0.0,245.0,210.0,1910.0,Yarra,-37.8024,144.9993,4019.0,"(0, 10]",2016-07-01,130.62403100775194
7,7,Abbotsford,2,h,1636000.0,2.5,3067.0,1.0,2.0,256.0,107.0,1890.0,Yarra,-37.806,144.9954,4019.0,"(0, 10]",2016-08-01,130.62403100775194
8,8,Abbotsford,1,u,300000.0,2.5,3067.0,1.0,1.0,0.0,,,Yarra,-37.8008,144.9973,4019.0,"(0, 10]",2016-08-01,130.62403100775194
9,9,Abbotsford,2,h,1097000.0,2.5,3067.0,1.0,2.0,220.0,75.0,1900.0,Yarra,-37.801,144.9989,4019.0,"(0, 10]",2016-08-01,130.62403100775194
10,10,Abbotsford,2,u,700000.0,2.5,3067.0,2.0,1.0,0.0,,,Yarra,-37.811,145.0067,4019.0,"(0, 10]",2016-12-01,130.62403100775194
11,11,Abbotsford,3,h,1350000.0,2.5,3067.0,2.0,2.0,214.0,190.0,2005.0,Yarra,-37.8085,144.9964,4019.0,"(0, 10]",2016-12-01,130.62403100775194
12,12,Abbotsford,2,u,750000.0,2.5,3067.0,2.0,1.0,0.0,94.0,2009.0,Yarra,-37.8078,144.9965,4019.0,"(0, 10]",2016-12-01,130.62403100775194
13,13,Abbotsford,2,h,1172500.0,2.5,3067.0,1.0,1.0,195.0,,,Yarra,-37.8084,144.9973,4019.0,"(0, 10]",2016-08-01,130.62403100775194
14,14,Abbotsford,1,u,441000.0,2.5,3067.0,1.0,1.0,0.0,,,Yarra,-37.8016,144.9988,4019.0,"(0, 10]",2016-05-01,130.62403100775194
15,15,Abbotsford,2,h,1310000.0,2.5,3067.0,1.0,2.0,238.0,97.0,1890.0,Yarra,-37.809,144.9976,4019.0,"(0, 10]",2016-10-01,130.62403100775194
16,16,Abbotsford,3,h,1200000.0,2.5,3067.0,2.0,1.0,113.0,110.0,1880.0,Yarra,-37.8056,144.993,4019.0,"(0, 10]",2016-07-01,130.62403100775194
17,17,Abbotsford,3,h,1176500.0,2.5,3067.0,1.0,1.0,138.0,105.0,1890.0,Yarra,-37.8021,144.9965,4019.0,"(0, 10]",2016-07-01,130.62403100775194
18,18,Abbotsford,3,h,955000.0,2.5,3067.0,1.0,0.0,183.0,,,Yarra,-37.8022,144.9975,4019.0,"(0, 10]",2016-09-01,130.62403100775194
19,19,Abbotsford,2,h,890000.0,2.5,3067.0,1.0,1.0,150.0,73.0,1985.0,Yarra,-37.8011,145.0004,4019.0,"(0, 10]",2016-09-01,130.62403100775194
20,20,Abbotsford,4,h,1330000.0,2.5,3067.0,2.0,2.0,780.0,135.0,1900.0,Yarra,-37.8073,144.9952,4019.0,"(0, 10]",2017-03-01,130.62403100775194
21,21,Abbotsford,3,t,900000.0,2.5,3067.0,2.0,2.0,0.0,,2010.0,Yarra,-37.8093,144.9959,4019.0,"(0, 10]",2017-03-01,130.62403100775194
22,22,Abbotsford,3,u,1090000.0,2.5,3067.0,2.0,2.0,4290.0,27.0,,Yarra,-37.8078,144.9965,4019.0,"(0, 10]",2017-03-01,130.62403100775194
23,23,Abbotsford,2,u,500000.0,2.5,3067.0,1.0,1.0,0.0,60.0,1970.0,Yarra,-37.8015,144.9972,4019.0,"(0, 10]",2016-06-01,130.62403100775194
24,24,Abbotsford,2,h,1100000.0,2.5,3067.0,2.0,1.0,124.0,135.0,2013.0,Yarra,-37.8079,144.9977,4019.0,"(0, 10]",2016-06-01,130.62403100775194
25,25,Abbotsford,2,h,1315000.0,2.5,3067.0,1.0,0.0,147.0,85.0,1900.0,Yarra,-37.808,144.994,4019.0,"(0, 10]",2016-11-01,130.62403100775194
26,26,Abbotsford,1,u,426000.0,2.5,3067.0,1.0,1.0,0.0,,,Yarra,-37.8016,144.9988,4019.0,"(0, 10]",2016-08-01,130.62403100775194
27,27,Abbotsford,3,h,1447500.0,2.5,3067.0,3.0,1.0,166.0,174.0,2012.0,Yarra,-37.8017,145.0001,4019.0,"(0, 10]",2016-08-01,130.62403100775194
28,28,Abbotsford,1,u,457000.0,2.5,3067.0,1.0,1.0,0.0,50.0,,Yarra,-37.8078,144.9965,4019.0,"(0, 10]",2016-08-01,130.62403100775194
29,29,Abbotsford,2,h,1135000.0,2.5,3067.0,2.0,2.0,98.0,128.0,1920.0,Yarra,-37.8005,144.9952,4019.0,"(0, 10]",2016-08-01,130.62403100775194
30,30,Abbotsford,4,h,1542000.0,2.5,3067.0,3.0,1.0,0.0,,,Yarra,-37.7994,144.9965,4019.0,"(0, 10]",2016-09-01,130.62403100775194
31,31,Abbotsford,3,h,1290000.0,2.5,3067.0,2.0,2.0,147.0,18.0,,Yarra,-37.805,144.9943,4019.0,"(0, 10]",2017-02-01,130.62403100775194
32,32,Abbotsford,3,h,1290000.0,2.5,3067.0,1.0,1.0,168.0,124.0,1950.0,Yarra,-37.8007,144.9958,4019.0,"(0, 10]",2017-02-01,130.62403100775194
33,33,Abbotsford,1,u,470000.0,2.5,3067.0,1.0,1.0,0.0,50.0,2013.0,Yarra,-37.8055,144.9961,4019.0,"(0, 10]",2016-07-01,130.62403100775194
34,34,Abbotsford,2,h,1180000.0,2.5,3067.0,1.0,0.0,162.0,91.0,1900.0,Yarra,-37.8016,144.9956,4019.0,"(0, 10]",2016-11-01,130.62403100775194
35,35,Abbotsford,3,h,1195000.0,2.5,3067.0,2.0,1.0,120.0,128.0,1998.0,Yarra,-37.8022,144.9954,4019.0,"(0, 10]",2016-11-01,130.62403100775194
36,36,Abbotsford,2,h,1012500.0,2.5,3067.0,1.0,0.0,182.0,82.0,1900.0,Yarra,-37.8021,144.9976,4019.0,"(0, 10]",2016-05-01,130.62403100775194
37,37,Abbotsford,2,h,1030000.0,2.5,3067.0,1.0,1.0,172.0,81.0,1930.0,Yarra,-37.8086,144.9946,4019.0,"(0, 10]",2016-07-01,130.62403100775194
38,38,Airport West,3,t,840000.0,13.5,3042.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,-37.718,144.878,3464.0,"(10, 20]",2016-03-01,81.57142857142857
39,39,Airport West,3,h,730000.0,13.5,3042.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,3464.0,"(10, 20]",2016-03-01,81.57142857142857
40,40,Airport West,3,h,770000.0,13.5,3042.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,-37.7203,144.8755,3464.0,"(10, 20]",2017-04-01,81.57142857142857
41,41,Airport West,2,h,603000.0,13.5,3042.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,-37.7294,144.888,3464.0,"(10, 20]",2017-04-01,81.57142857142857
42,42,Airport West,3,t,700000.0,13.5,3042.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,-37.7218,144.8837,3464.0,"(10, 20]",2017-04-01,81.57142857142857
43,43,Airport West,3,h,600000.0,13.5,3042.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,-37.7273,144.8744,3464.0,"(10, 20]",2017-04-01,81.57142857142857
44,44,Airport West,2,u,500000.0,13.5,3042.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,-37.7215,144.8864,3464.0,"(10, 20]",2017-04-01,81.57142857142857
45,45,Airport West,3,h,720000.0,13.5,3042.0,1.0,1.0,620.0,,,Moonee Valley,-37.7173,144.8872,3464.0,"(10, 20]",2016-06-01,81.57142857142857
46,46,Airport West,4,h,785000.0,13.5,3042.0,1.0,2.0,597.0,127.0,,Moonee Valley,-37.7259,144.8792,3464.0,"(10, 20]",2016-06-01,81.57142857142857
47,47,Airport West,6,h,725000.0,13.5,3042.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,-37.7239,144.8735,3464.0,"(10, 20]",2016-07-01,81.57142857142857
48,48,Airport West,2,t,450000.0,13.5,3042.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,-37.7216,144.871,3464.0,"(10, 20]",2016-07-01,81.57142857142857
49,49,Airport West,2,u,515000.0,13.5,3042.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,-37.7298,144.8883,3464.0,"(10, 20]",2016-07-01,81.57142857142857
50,50,Airport West,2,u,530000.0,13.5,3042.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,-37.7234,144.8792,3464.0,"(10, 20]",2016-10-01,81.57142857142857
51,51,Airport West,3,h,895000.0,13.5,3042.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,-37.7249,144.8728,3464.0,"(10, 20]",2016-10-01,81.57142857142857
52,52,Airport West,3,h,805000.0,13.5,3042.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,-37.7217,144.8783,3464.0,"(10, 20]",2016-10-01,81.57142857142857
53,53,Airport West,3,u,752000.0,13.5,3042.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,-37.7302,144.8855,3464.0,"(10, 20]",2017-11-01,81.57142857142857
54,54,Airport West,2,u,440000.0,13.5,3042.0,1.0,1.0,192.0,,,Moonee Valley,-37.7177,144.8787,3464.0,"(10, 20]",2016-08-01,81.57142857142857
55,55,Airport West,5,h,755000.0,13.5,3042.0,2.0,2.0,596.0,,,Moonee Valley,-37.7248,144.8699,3464.0,"(10, 20]",2016-05-01,81.57142857142857
56,56,Airport West,3,t,700000.0,13.5,3042.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,-37.727,144.887,3464.0,"(10, 20]",2016-10-01,81.57142857142857
57,57,Airport West,3,h,830000.0,13.5,3042.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,-37.7186,144.876,3464.0,"(10, 20]",2016-04-01,81.57142857142857
58,58,Airport West,2,u,462500.0,13.5,3042.0,1.0,1.0,164.0,,2003.0,Moonee Valley,-37.7218,144.8863,3464.0,"(10, 20]",2016-07-01,81.57142857142857
59,59,Airport West,3,h,670000.0,13.5,3042.0,2.0,2.0,657.0,,,Moonee Valley,-37.7269,144.8742,3464.0,"(10, 20]",2016-07-01,81.57142857142857
60,60,Airport West,2,h,675000.0,13.5,3042.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,-37.7187,144.8765,3464.0,"(10, 20]",2016-07-01,81.57142857142857
61,61,Airport West,3,h,1042000.0,13.5,3042.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,-37.7173,144.8796,3464.0,"(10, 20]",2016-07-01,81.57142857142857
62,62,Airport West,3,h,910000.0,13.5,3042.0,1.0,1.0,775.0,,,Moonee Valley,-37.7231,144.8835,3464.0,"(10, 20]",2016-09-01,81.57142857142857
63,63,Airport West,4,h,773000.0,13.5,3042.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,-37.7263,144.8679,3464.0,"(10, 20]",2016-09-01,81.57142857142857
64,64,Airport West,3,h,810000.0,13.5,3042.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,-37.7285,144.8694,3464.0,"(10, 20]",2017-03-01,81.57142857142857
65,65,Airport West,3,h,715000.0,13.5,3042.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,-37.7164,144.8792,3464.0,"(10, 20]",2017-03-01,81.57142857142857
66,66,Airport West,3,h,790000.0,13.5,3042.0,1.0,3.0,614.0,,,Moonee Valley,-37.7194,144.8827,3464.0,"(10, 20]",2017-03-01,81.57142857142857
67,67,Airport West,3,t,540000.0,13.5,3042.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,-37.7231,144.8802,3464.0,"(10, 20]",2016-06-01,81.57142857142857
68,68,Airport West,3,t,825000.0,13.5,3042.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,-37.72,144.8776,3464.0,"(10, 20]",2016-11-01,81.57142857142857
69,69,Airport West,3,h,685000.0,13.5,3042.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,-37.7226,144.8733,3464.0,"(10, 20]",2016-05-01,81.57142857142857
70,70,Airport West,3,h,805000.0,13.5,3042.0,1.0,1.0,623.0,,,Moonee Valley,-37.7184,144.882,3464.0,"(10, 20]",2016-08-01,81.57142857142857
71,71,Airport West,2,u,510000.0,13.5,3042.0,1.0,1.0,141.0,76.0,,Moonee Valley,-37.7202,144.8797,3464.0,"(10, 20]",2016-08-01,81.57142857142857
72,72,Airport West,3,h,612000.0,13.5,3042.0,2.0,1.0,212.0,,,Moonee Valley,-37.7181,144.8824,3464.0,"(10, 20]",2016-08-01,81.57142857142857
73,73,Airport West,3,h,662000.0,13.5,3042.0,1.0,2.0,612.0,,,Moonee Valley,-37.7169,144.8815,3464.0,"(10, 20]",2016-04-01,81.57142857142857
74,74,Airport West,4,h,978000.0,13.5,3042.0,3.0,2.0,532.0,,,Moonee Valley,-37.7263,144.869,3464.0,"(10, 20]",2016-09-01,81.57142857142857
75,75,Airport West,3,h,720000.0,13.5,3042.0,1.0,1.0,585.0,,,Moonee Valley,-37.72,144.878,3464.0,"(10, 20]",2017-02-01,81.57142857142857
76,76,Airport West,4,h,765000.0,13.5,3042.0,1.0,2.0,509.0,,,Moonee Valley,-37.7261,144.8785,3464.0,"(10, 20]",2016-11-01,81.57142857142857
77,77,Airport West,4,h,900000.0,13.5,3042.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,-37.7256,144.8739,3464.0,"(10, 20]",2016-11-01,81.57142857142857
78,78,Albert Park,2,h,1275000.0,3.3,3206.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,-37.8459,144.9555,3280.0,"(0, 10]",2016-03-01,229.41803278688525
79,79,Albert Park,2,h,1455000.0,3.3,3206.0,1.0,0.0,159.0,,,Port Phillip,-37.845,144.9538,3280.0,"(0, 10]",2016-03-01,229.41803278688525
80,80,Albert Park,3,h,2850000.0,3.3,3206.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip,-37.8481,144.9499,3280.0,"(0, 10]",2017-04-01,229.41803278688525
81,81,Albert Park,3,h,1850000.0,3.3,3206.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip,-37.8452,144.9488,3280.0,"(0, 10]",2017-04-01,229.41803278688525
82,82,Albert Park,2,h,1436000.0,3.3,3206.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,-37.8431,144.9565,3280.0,"(0, 10]",2017-04-01,229.41803278688525
83,83,Albert Park,2,h,1110000.0,3.3,3206.0,1.0,0.0,147.0,,1900.0,Port Phillip,-37.8444,144.9484,3280.0,"(0, 10]",2016-06-01,229.41803278688525
84,84,Albert Park,2,h,1550000.0,3.3,3206.0,1.0,1.0,167.0,,,Port Phillip,-37.8405,144.9521,3280.0,"(0, 10]",2016-07-01,229.41803278688525
85,85,Albert Park,4,h,2300000.0,3.3,3206.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip,-37.8447,144.9523,3280.0,"(0, 10]",2016-07-01,229.41803278688525
86,86,Albert Park,3,t,1550000.0,3.3,3206.0,2.0,2.0,718.0,,,Port Phillip,-37.8443,144.9598,3280.0,"(0, 10]",2016-07-01,229.41803278688525
87,87,Albert Park,3,h,1800000.0,3.3,3206.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,-37.8415,144.952,3280.0,"(0, 10]",2016-07-01,229.41803278688525
88,88,Albert Park,2,h,2120000.0,3.3,3206.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip,-37.8422,144.9554,3280.0,"(0, 10]",2016-10-01,229.41803278688525
89,89,Albert Park,3,h,1800000.0,3.3,3206.0,1.0,1.0,253.0,,,Port Phillip,-37.8443,144.9579,3280.0,"(0, 10]",2016-10-01,229.41803278688525
90,90,Albert Park,3,h,1800000.0,3.3,3206.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,-37.8421,144.9571,3280.0,"(0, 10]",2016-10-01,229.41803278688525
91,91,Albert Park,2,h,1810000.0,3.3,3206.0,1.0,0.0,240.0,,,Port Phillip,-37.8379,144.9539,3280.0,"(0, 10]",2016-10-01,229.41803278688525
92,92,Albert Park,3,h,2615000.0,3.3,3206.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip,-37.8415,144.9585,3280.0,"(0, 10]",2016-10-01,229.41803278688525
93,93,Albert Park,5,h,2100000.0,3.3,3206.0,2.0,1.0,237.0,,,Port Phillip,-37.8436,144.9557,3280.0,"(0, 10]",2016-10-01,229.41803278688525
94,94,Albert Park,3,h,1300000.0,3.3,3206.0,1.0,0.0,129.0,,,Port Phillip,-37.8422,144.94899999999996,3280.0,"(0, 10]",2016-10-01,229.41803278688525
95,95,Albert Park,3,h,1370000.0,3.3,3206.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip,-37.8451,144.9511,3280.0,"(0, 10]",2016-12-01,229.41803278688525
96,96,Albert Park,2,h,1000000.0,3.3,3206.0,1.0,0.0,288.0,,,Port Phillip,-37.8407,144.9523,3280.0,"(0, 10]",2016-12-01,229.41803278688525
97,97,Albert Park,3,h,2575000.0,3.3,3206.0,2.0,1.0,228.0,,,Port Phillip,-37.8445,144.9501,3280.0,"(0, 10]",2016-10-01,229.41803278688525
98,98,Albert Park,2,h,1322500.0,3.3,3206.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip,-37.8443,144.9481,3280.0,"(0, 10]",2016-10-01,229.41803278688525
99,99,Albert Park,2,h,1562500.0,3.3,3206.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip,-37.8424,144.9562,3280.0,"(0, 10]",2016-10-01,229.41803278688525
100,100,Albert Park,3,h,2000000.0,3.3,3206.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip,-37.847,144.9575,3280.0,"(0, 10]",2016-04-01,229.41803278688525
101,101,Albert Park,3,h,1900000.0,3.3,3206.0,1.0,0.0,209.0,,1900.0,Port Phillip,-37.8468,144.9546,3280.0,"(0, 10]",2017-03-01,229.41803278688525
102,102,Albert Park,3,h,3010000.0,3.3,3206.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip,-37.8473,144.9551,3280.0,"(0, 10]",2017-03-01,229.41803278688525
103,103,Albert Park,4,h,2800000.0,3.3,3206.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip,-37.8467,144.9475,3280.0,"(0, 10]",2016-06-01,229.41803278688525
104,104,Albert Park,2,u,647000.0,3.3,3206.0,1.0,1.0,0.0,,,Port Phillip,-37.846,144.9542,3280.0,"(0, 10]",2016-05-01,229.41803278688525
105,105,Albert Park,3,h,2100000.0,3.3,3206.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip,-37.8427,144.9546,3280.0,"(0, 10]",2016-04-01,229.41803278688525
106,106,Albert Park,3,h,2000000.0,3.3,3206.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip,-37.8461,144.9528,3280.0,"(0, 10]",2016-09-01,229.41803278688525
107,107,Albert Park,1,u,442500.0,3.3,3206.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip,-37.8421,144.9517,3280.0,"(0, 10]",2017-02-01,229.41803278688525
108,108,Albert Park,4,h,4735000.0,3.3,3206.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip,-37.8477,144.9558,3280.0,"(0, 10]",2017-02-01,229.41803278688525
109,109,Albert Park,2,h,1340000.0,3.3,3206.0,1.0,0.0,136.0,,,Port Phillip,-37.846,144.9517,3280.0,"(0, 10]",2017-02-01,229.41803278688525
110,110,Albert Park,3,h,1801000.0,3.3,3206.0,1.0,1.0,202.0,,,Port Phillip,-37.8429,144.9493,3280.0,"(0, 10]",2017-02-01,229.41803278688525
111,111,Albert Park,3,h,1532000.0,3.3,3206.0,3.0,1.0,0.0,,,Port Phillip,-37.8415,144.9585,3280.0,"(0, 10]",2016-07-01,229.41803278688525
112,112,Albert Park,3,h,3755000.0,3.3,3206.0,2.0,2.0,325.0,,,Port Phillip,-37.8413,144.95,3280.0,"(0, 10]",2016-07-01,229.41803278688525
113,113,Albert Park,4,h,2140000.0,3.3,3206.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip,-37.8434,144.9495,3280.0,"(0, 10]",2016-06-01,229.41803278688525
114,114,Albert Park,2,h,1750000.0,3.3,3206.0,1.0,1.0,162.0,,,Port Phillip,-37.8416,144.9488,3280.0,"(0, 10]",2016-11-01,229.41803278688525
115,115,Albert Park,2,h,980000.0,3.3,3206.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip,-37.8387,144.9519,3280.0,"(0, 10]",2016-05-01,229.41803278688525
116,116,Albert Park,3,h,2030000.0,3.3,3206.0,2.0,0.0,152.0,,,Port Phillip,-37.8488,144.9551,3280.0,"(0, 10]",2016-08-01,229.41803278688525
117,117,Albert Park,3,h,1740000.0,3.3,3206.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip,-37.8448,144.9453,3280.0,"(0, 10]",2016-08-01,229.41803278688525
118,118,Albert Park,3,h,2800000.0,3.3,3206.0,3.0,1.0,0.0,,,Port Phillip,-37.8399,144.9577,3280.0,"(0, 10]",2016-07-01,229.41803278688525
119,119,Albert Park,1,h,985000.0,3.3,3206.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip,-37.8411,144.9497,3280.0,"(0, 10]",2016-07-01,229.41803278688525
120,120,Alphington,4,h,2000000.0,6.4,3078.0,2.0,4.0,853.0,263.0,1930.0,Darebin,-37.7707,145.0318,2211.0,"(0, 10]",2016-03-01,111.20270270270271
121,121,Alphington,3,h,1110000.0,6.4,3078.0,2.0,2.0,208.0,,2013.0,Yarra,-37.7854,145.0325,2211.0,"(0, 10]",2016-03-01,111.20270270270271
122,122,Alphington,3,h,1492000.0,6.4,3078.0,2.0,2.0,411.0,,,Darebin,-37.7713,145.0279,2211.0,"(0, 10]",2017-04-01,111.20270270270271
123,123,Alphington,4,h,1717500.0,6.4,3078.0,2.0,1.0,599.0,203.0,1925.0,Darebin,-37.7717,145.031,2211.0,"(0, 10]",2016-08-01,111.20270270270271
124,124,Alphington,5,h,2840000.0,6.4,3078.0,4.0,4.0,809.0,165.0,1910.0,Darebin,-37.775,145.0268,2211.0,"(0, 10]",2016-12-01,111.20270270270271
125,125,Alphington,2,u,525500.0,6.4,3078.0,1.0,1.0,88.0,60.0,1960.0,Darebin,-37.7791,145.0306,2211.0,"(0, 10]",2016-12-01,111.20270270270271
126,126,Alphington,2,t,805000.0,6.4,3078.0,2.0,3.0,155.0,140.0,2004.0,Darebin,-37.7804,145.0308,2211.0,"(0, 10]",2016-12-01,111.20270270270271
127,127,Alphington,2,u,465000.0,6.4,3078.0,1.0,1.0,0.0,,,Darebin,-37.7773,145.0314,2211.0,"(0, 10]",2016-12-01,111.20270270270271
128,128,Alphington,3,h,2000000.0,6.4,3078.0,3.0,2.0,686.0,,,Darebin,-37.78,145.0341,2211.0,"(0, 10]",2016-10-01,111.20270270270271
